page,object/name,object location in page,code location,object problem ,code problem ,etc,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-order.html,Order tracking section div (delete),mid page,line 789 to 798,no need for it ,delete,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-order.html,Order status guide section div (delete),bottom,line 800 to 833,no need for it ,delete,,,,,,,,,,,,,,,,,,,,,
,kickout bug,,,??? ?? ???? 1 ???? ? 40 ????? ?? ??? ???? ?? ???? ??? ?????? ?? ?? ??? ?? ??????? ???? ???? ??? ????? ?????? ??? ?? ???? ???? ?? ??? ?? ????? ??? ??? ????? ???? ??? ?? ?? ??????? ???? ? ????? ?? ????? ?????? ???? ???? ???? ?? ?? ????? ?? ??? ????? ?????? ???? ???? ?? ????? ???? ?????? ??? ??? ?? ??? ??? ??? ? ??? ??? ???????? ?????,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-favorite.html,???? ????? ???? ?? ??? ?? ???? ??? ??? ?? ,,,,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-favorite.html,???? ??? ?????? ??? ??,top left,line 587 to 592,??? ??????,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-favorite.html,???? ?????? ??? ?? ??? ????,top left,line 593 to 598,??? ?????? ??? ?? ???? ??? ???? ????? ?? ??? ???? ??? ???? ??? ???? ????? ???? ? ?? ???? ???? ?? ???? ??? ????? ????? ???? ??? ????,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-favorite.html,Filters and sorting div ?? ???? ?? ??????? ???? ??????? ????????,???? ????? ????? ???? ??,line 602 to 651,???? ???? ????? ?? ??? ???????? ???? ????????? ????? ???? ???????,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-favorite.html,???? ???? ????? ????,???? ?? ???? ?????,p1=  line 680 to 686,?? ??? ???? 3 ??????? ??? ?? ?? ??? ?? ??? ???? ???? ?? ???? ??? ???? ???? ???? ?? ??? ?? ????? ???? ?????? ????? ?????? ?????? ?? ??? ???????,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-favorite.html,,,p2= line 721 to 728,,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-favorite.html,,,p3= line 761 to 767,,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-favorite.html,,???? ????? ???? ?? ?? ??????? ??????? ???? ?? ?? ???? ???? ?? ????? ???? ?? ????? ??? ???? ?? ??  ,line 694 and 734 and 744," <span class=""px-2 py-1 text-xs rounded-full bg-danger/10 text-danger dark:text-danger-dark"">",,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-favorite.html,,???? ?? ?? ?? ???? ???? ??????? ??? ???? ??? ???? ?? ??,line 690 and 691 also 731 and 771,"<div class=""text-sm text-dark dark:text-light""",,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-favorite.html,,???? ????? ?? ??? ???? ? ????? ???? ?????? ?? ???? ??? ??????,???? ?? ??? path ???? ?? ??? svg ???? ?? ??? ?? button ????? ??? ??? ???? ??? ?? ??? ???? ??? ???? ?? ???? ????? ???? ?? ??? ?????? <!-- Product 1 --><!-- Product 2 --><!-- Product 3 -->,,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-favorite.html,,????? ????? ????,<!-- Pagination --> line 798 to 806,????? ????? 1 ?? 3 ?? 12 ????? ???? ???? ?? ? ??? ?? ???? ????? ??? ?? ???? ?? ?????? ?? ?? ??? ???? ???? ?? ???? ?? ????? ????? ?? ???? ????? ???,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-favorite.html,,???? ???? ? 1? 2? 3? ???? ??? ??????,<!-- Pagination --> line 808 to 824,???? ?? ??? ?????? ? ?????? ??? ??? ??? ???? ???? ???? ??? ???? ?? ???? ???? ???? ?? ???? ???? ???? ??? ????? ??? ???? ????? ? ???? ?????? ???? ??  ,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-favorite.html,unknown error ,top left ,script part,???? ???? ?? ??? 3 ????? ?????? ???? ? ???? ?? ?? ????? ,???? ????? ?? 33 ????,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-favorite.html,div ??????? ???????? ???? ???,bottom,????? ???? ???? ?? ?? ??????? ?????? ???? ??? ????? ????? ??? ??? ?? ??? ???? line 828 to 1140 <!-- Suggested products --> ,?? ???? ???? ??? ???? ????? ????.,,?? ???? ??????? ???? ??. ??? ?? ????? ??????,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-favorite.html,???? ?????? ??? ?? ??????? ???????? ???? ???,bottom,,not linked,"href=""#""",,,,,,,,,,,,,,,,,,,,,
,???? ??? ???? ??????? ???????? x4,bottom,,No webpage was found for the web address: http://130.185.73.167:8080/product/......,,?? ???? ???? ?? ???? ??? ???? ????? ? ???? ????? ???? ?? ????? ??? ??? ?????? ??? ??? ???? ????? ?? ?? ???? ????,,,,,,,,,,,,,,,,,,,,
,???? ??? ?????? ?? ????? ???? x4,bottom,,???? ?????? ?? ?????? ???? ????? ????,,,,,,,,,,,,,,,,,,,,,,
,???? ??? ?????? ?????? x4,bottom,,,,,,,,,,,,,,,,,,,,,,,,
,???? ??? ?????? ????? x4,bottom,,,,,,,,,,,,,,,,,,,,,,,,
,??? ???? ???? ?? x4,bottom,,??????? ???? ???? ?? ?? ??? ????,,????? ???? ?? ???? ??? ?????? ????? ???? ???? ??? ? ????? ???? ????,,,,,,,,,,,,,,,,,,,,
,???? ???? ?? ?????? ?? ??? ???? x4,bottom,,?? ???? ??? ??? ???? ???? ??? ???? ??? ?????? ?? ??? ???? ? ????? ???? ?????? ,,???? ?????? ??? ??????? ?? ???? ??? ?????,,,,,,,,,,,,,,,,,,,,
